33,33,2014-01,Beca 18 VRAEM,VRAEM,Beca VRAEM,1000,1,31/12/2013,25/11/2013,07/02/2014,25/11/2013,15/05/2014,25/11/2013,10/05/2014,,25,RDE N° 236-2013-MINEDU-VMGI-OBEC-PRONABEC / RDE N° 81-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
34,2,2011-01,Beca Bicentenario de la Independencia del Perú,Beca Bicentenario,Becas Pregrado,,,,19/08/2013,19/08/2013,19/08/2013,19/08/2013,19/08/2013,19/08/2013,,,,14/04/2026 14:01:22
35,4,2010-01,Beca Haya de la Torre,Beca Haya de la Torre,Becas Postgrado Nacional,,,,11/10/2012,09/11/2012,11/10/2012,11/10/2012,11/10/2012,11/10/2012,,,,14/04/2026 14:01:22
36,5,2010-01,Beca de la Amistad Peruano Ecuatoriana,Beca Peru Ecuador ,Becas Postgrado Nacional,,,,11/10/2012,09/11/2012,11/10/2012,11/10/2012,11/10/2012,11/10/2012,,,,14/04/2026 14:01:22
37,39,2014-01,Beca EIB,Educación Intercultural Bilingüe,Becas EIB,560,1,31/12/2013,22/10/2013,11/06/2014,10/02/2014,23/09/2014,01/11/2013,30/05/2014,,27,RDE N° 216-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
38,41,2013-01,Beca Perú (Ayacucho),Beca Peru,Beca Peru,247,1,,28/10/2013,17/11/2013,18/11/2013,30/11/2013,28/10/2013,06/12/2013,16,45,RDE N° 246-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
39,42,2013-01,Beca Perú - Piura,Beca Peru,Beca Peru,141,1,,11/11/2013,08/12/2013,09/12/2013,22/12/2013,11/11/2013,03/01/2014,,27,RDE N° 259-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
40,43,2014-01,Beca 18 Albergue,Albergue,Becas Albergue,200,1,,20/11/2013,22/02/2014,20/11/2013,20/06/2014,20/11/2013,21/03/2014,,23,RDE N° 262-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
41,57,2013   ,Beca 18 Modalidad Traslado Becas extranjeras-Perú,Modalidad Ordinaria,Beca Ordinario,,1,,11/03/2014,11/03/2014,11/03/2014,11/03/2014,11/03/2014,11/03/2014,,,RJ N° 252,254,258,259-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
42,58,2014-02,Presidente de la República,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,800,1,31/12/2014,01/04/2014,06/08/2014,02/05/2014,15/09/2014,01/04/2014,16/09/2014,,36,RDE N° 87-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
