29,Beca Mi Vocación Técnica 2017   ,LIMA,Becarios declarados nulos,,2018-03,2017-05,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,LUIS CACERES GRAZIANI,ILUSTRADOR DIGITAL,FEMENINO,14/04/2026 14:01:19
30,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-12,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,SOPORTE TECNICO DE COMPUTADORAS,MASCULINO,14/04/2026 14:01:19
31,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-12,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,SOPORTE TECNICO DE COMPUTADORAS,MASCULINO,14/04/2026 14:01:19
32,Beca Especialización en Pedagogía para Docentes Titulados en la Especialidad de Inglés, nombrados en Instituciones Educativas Públicas de Educación Básica Regular en el nivel de educación secundaria 2016   ,ESTADOS UNIDOS,Becarios declarados nulos,,2016-03,2016-01,Universidad,ARIZONA STATE UNIVERSITY,SEDE ARIZONA,SEMINARIO: PROFESSIONAL DEVELOPMENT FOR PUBLIC SCHOOL ENGLISH TEACHERS,MASCULINO,14/04/2026 14:01:19
33,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,ELECTRICIDAD INDUSTRIAL CON MENCION EN SISTEMAS ELECTRICOS DE POTENCIA,MASCULINO,14/04/2026 14:01:19
34,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AREQUIPA,Becarios declarados nulos,,2016-03,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE AREQUIPA,OPERADOR DE MAQUINA DE COSTURA PARA LINEAS DE PRODUCCION EN CONFECCIONES,MASCULINO,14/04/2026 14:01:19
35,Beca Presidente de la República 2017   ,BRASIL,Becarios declarados nulos,,,2017-05,Universidad,UNIVERSIDADE DE SAO PAULO,SEDE PIRASSUNUNGA,DOCTORADO EN INGENIERIA DE ALIMENTOS,MASCULINO,14/04/2026 14:01:19
36,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,CUSCO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CUSCO,PROCESAMIENTO DE FRUTAS,MASCULINO,14/04/2026 14:01:19
37,Beca de Continuidad de Estudios 2020   ,JUNIN,Becarios declarados nulos,,,2020-07,Universidad,UNIVERSIDAD PERUANA LOS ANDES,SEDE HUANCAYO,EDUCACION PRIMARIA,FEMENINO,14/04/2026 14:01:19
38,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-06,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,SEDE VILLA EL SALVADOR,ADMINISTRACION DE EMPRESAS,FEMENINO,14/04/2026 14:01:19
39,Beca de Continuidad de Estudios 2020   ,LA LIBERTAD,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE CHEPEN,ADMINISTRACION DE EMPRESAS,FEMENINO,14/04/2026 14:01:19
40,Beca Idiomas - Ingles 2015   ,AREQUIPA,Becarios declarados nulos,,,2015-03,Instituto de Idiomas,ICPNA,SEDE AREQUIPA,INGLES,MASCULINO,14/04/2026 14:01:19
41,Beca 18 REPARED 2017   ,JUNIN,Becarios declarados nulos,,,2017-06,Universidad,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,SEDE EL TAMBO,INGENIERIA DE MINAS,MASCULINO,14/04/2026 14:01:19
42,Beca Perú - Lima Callao 2015   ,LIMA,Becarios declarados nulos,,,2015-03,Instituto de Educación Superior,ESFA DEL FOLKLORE – JOSE MARIA ARGUEDAS,SEDE LIMA,EDUCACION ARTISTICA MUSICA,MASCULINO,14/04/2026 14:01:19
