52,xWxlP,,,PADRE,Tiene,Tiene,Tiene,750,700,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
53,vL2DO,,,PADRE,Tiene,Tiene,Tiene,750,750,2015-12,Tiene,FEMENINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:19
54,1WkRr,,,PADRE,Tiene,Tiene,no tiene,1200,1200,2015-12,Tiene,MASCULINO,SAN JUAN DE MIRAFLORES,14/04/2026 14:01:19
55,lN6pK,,,PADRE,No Tiene,No tiene,NO TIENE,100,100,2015-12,Tiene,FEMENINO,ONGOY,14/04/2026 14:01:19
56,MAOn,,,PADRE,No Tiene,No tiene,No Tiene,400,400,2015-12,Tiene,FEMENINO,INDEPENDENCIA,14/04/2026 14:01:19
57,WZyZx,,,PADRE,Tiene,Tiene,Tiene,1200,1200,2015-12,Tiene,FEMENINO,MIRAFLORES,14/04/2026 14:01:19
58,jlaX2,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,1800,1700,2015-11,Tiene,MASCULINO,JESUS MARIA,14/04/2026 14:01:19
59,8M8EL,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,2100,2000,2015-12,Tiene,,,14/04/2026 14:01:19
60,K81A7,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,10,1000,2015-12,Tiene,,,14/04/2026 14:01:19
61,g0WoN,1era. convocatoria,,PADRE,No Tiene,Tiene,No Tiene,2000,1170,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
62,XGdde,1era. convocatoria,,PADRE,No Tiene,Tiene,Tiene,750,750,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
63,ZzZq,,,PADRE,Tiene,Tiene,-,1200,-,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
64,Rm6Lq,,,PADRE,Tiene,Tiene,Tiene,1500,1200,2015-12,Tiene,FEMENINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:19
65,zVjXy,1era. convocatoria,,PADRE,Tiene,Tiene,No Tiene,1200,1200,2015-12,Tiene,FEMENINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:19
66,llQ27,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,2800,2200,2015-12,Tiene,FEMENINO,LURIGANCHO,14/04/2026 14:01:19
67,peRo3,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,500,2323,2015-12,Tiene,,,14/04/2026 14:01:19
68,k7OyG,,,PADRE,No Tiene,Tiene,No Tiene,800,800,2015-12,Tiene,FEMENINO,EL CARMEN,14/04/2026 14:01:19
69,vn6rW,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,10,2323,2015-12,Tiene,,,14/04/2026 14:01:19
70,EdrPz,,,PADRE,No Tiene,Tiene,Ninguno,1000,880,2015-12,Tiene,MASCULINO,LOS ORGANOS,14/04/2026 14:01:19
71,8MGQj,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,10000,2323,2015-12,Tiene,,,14/04/2026 14:01:19
72,dBDy7,,,PADRE,No Tiene,No tiene,No Tiene,0,0,2015-12,Tiene,MASCULINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:19
73,yEBA1,,,PADRE,Tiene,Tiene,Tiene,1000,700,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
74,bN81a,,,PADRE,Tiene,Tiene,NO TIENE,750.00,150.00,2015-12,Tiene,MASCULINO,HUAROCHIRI,14/04/2026 14:01:19
75,XbV5e,,,PADRE,No Tiene,No tiene,-,450,200,2015-12,Tiene,FEMENINO,PICHANAQUI,14/04/2026 14:01:19
76,gx8A7,,,PADRE,No Tiene,Tiene,No Tiene,500,500,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
77,GWVKK,,,PADRE,Tiene,Tiene,Tiene,1500,1200,2015-12,Tiene,FEMENINO,NUEVO PROGRESO,14/04/2026 14:01:19
78,rnWpa,,,PADRE,No Tiene,Tiene,Tiene,2600,1300,2015-12,Tiene,MASCULINO,TACNA,14/04/2026 14:01:19
79,7boKe,,,PADRE,No Tiene,No tiene,No Tiene,1200,1200,2015-12,Tiene,FEMENINO,JESUS MARIA,14/04/2026 14:01:19
80,nyWo5,,,PADRE,Tiene,Tiene,Tiene,1200,900,2015-12,Tiene,MASCULINO,SAN JUAN DE MIRAFLORES,14/04/2026 14:01:19
81,mdgaM,,,PADRE,No Tiene,Tiene,NO TIENE,200,200,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
82,312mj,,,PADRE,No Tiene,No tiene,No Tiene,0,,2023-03,Tiene,FEMENINO,,14/04/2026 14:01:19
83,6BdWk,,,PADRE,No Tiene,No tiene,No Tiene,900,,2021-08,No Tiene,FEMENINO,,14/04/2026 14:01:19
84,kKPlX,,,PADRE,No Tiene,No tiene,No Tiene,2000,,2021-03,No Tiene,MASCULINO,,14/04/2026 14:01:19
85,AlGL1,,,PADRE,Tiene,Tiene,Tiene,0,0,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
86,8MGGE,,,PADRE,No Tiene,No tiene,No Tiene,0,0,2015-12,Tiene,MASCULINO,IQUITOS,14/04/2026 14:01:19
87,Ewnv,,,PADRE,Tiene,Tiene,----------------------,400,300,2015-12,Tiene,MASCULINO,JILILI,14/04/2026 14:01:19
88,nyWPd,,,PADRE,Tiene,Tiene,Tiene,750,750,2015-12,Tiene,FEMENINO,JESUS MARIA,14/04/2026 14:01:19
89,QD1KN,,,PADRE,Tiene,Tiene,Tiene,800,800,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
90,Rmq3r,,,PADRE,No Tiene,Tiene,NO TIENE,1200,1000,2015-12,Tiene,MASCULINO,CARMEN DE LA LEGUA REYNOSO,14/04/2026 14:01:19
91,2NV7B,,,PADRE,No Tiene,Tiene,NO TIENE,750,750,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
92,D2b5Q,,,PADRE,Tiene,Tiene,Tiene,1200,1200,2015-12,Tiene,FEMENINO,CHORRILLOS,14/04/2026 14:01:19
93,gP5a2,,,PADRE,Tiene,No tiene,NO TIENE,1700,100,2015-12,Tiene,FEMENINO,BELLAVISTA,14/04/2026 14:01:19
94,M3gj7,,,PADRE,Tiene,Tiene,Tiene,1300,1100,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
95,Ndqwq,,,PADRE,Tiene,Tiene,Tiene,1000,1000,2015-12,Tiene,FEMENINO,EL AGUSTINO,14/04/2026 14:01:19
96,vn6Xz,,,PADRE,Tiene,Tiene,Tiene,2000.00,2000.00,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
97,O5A27,,,PADRE,Tiene,Tiene,Tiene,200.00,50.00,2015-12,Tiene,MASCULINO,JESUS MARIA,14/04/2026 14:01:19
98,P8RAn,,,PADRE,No Tiene,No tiene,0000000,400,350,2015-12,Tiene,FEMENINO,PUEBLO LIBRE,14/04/2026 14:01:19
99,K8ly7,,,PADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,MASCULINO,SANTIAGO DE SURCO,14/04/2026 14:01:19
100,1AaQb,,,PADRE,No Tiene,Tiene,NO TIENE,300,200,2015-12,Tiene,FEMENINO,VILLA MARIA DEL TRIUNFO,14/04/2026 14:01:19
1201,mdw2G,,,MADRE,Tiene,Tiene,Tiene,1700,2100,2016-01,Tiene,FEMENINO,CHANCHAMAYO,14/04/2026 14:01:24
1202,jlO3d,,,MADRE,Tiene,Tiene,Tiene,0.00,0.00,2016-01,Tiene,FEMENINO,SAN ANDRES,14/04/2026 14:01:24
1203,VdA5,,,MADRE,No Tiene,No tiene,No Tiene,500,500,2016-01,Tiene,MASCULINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:24
1204,mzqM,,,MADRE,No Tiene,No tiene,No Tiene,500,500,2016-01,Tiene,FEMENINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:24
1205,DdrjQ,,,MADRE,Tiene,Tiene,NO TIENE,200,400,2016-01,Tiene,FEMENINO,PUENTE PIEDRA,14/04/2026 14:01:24
1206,E2GNZ,,,MADRE,Tiene,Tiene,joseap.290895,750,750,2016-01,Tiene,FEMENINO,CHIMBOTE,14/04/2026 14:01:24
1207,K8lGv,,,MADRE,Tiene,Tiene,NINGUNO,0,0,2016-01,Tiene,FEMENINO,BELLAVISTA,14/04/2026 14:01:24
1208,Ndqr0,1era. convocatoria,,MADRE,Tiene,Tiene,Tiene,600,50,2016-01,Tiene,MASCULINO,PUEBLO LIBRE,14/04/2026 14:01:24
1209,P0jg,,,MADRE,Tiene,Tiene,-,650,150,2016-01,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1210,Pdnxz,,,MADRE,Tiene,Tiene,Tiene,1000,1000,2016-01,Tiene,MASCULINO,LURIGANCHO,14/04/2026 14:01:24
1211,O5bgZ,1era. convocatoria,,MADRE,Tiene,Tiene,Tiene,0,S/.200,2016-01,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1212,E2GrM,,,MADRE,Tiene,Tiene,Tiene,750,600,2016-01,Tiene,MASCULINO,COMAS,14/04/2026 14:01:24
1213,mOm0,,,MADRE,Tiene,Tiene,NO TIENE,0,00,2016-01,Tiene,FEMENINO,RIMAC,14/04/2026 14:01:24
1214,w6op5,1era. convocatoria,,MADRE,No Tiene,Tiene,Tiene,0,600,2016-01,Tiene,FEMENINO,MARCONA,14/04/2026 14:01:24
1215,GWx3E,1era. convocatoria,,MADRE,Tiene,Tiene,Tiene,2600,1500,2016-01,Tiene,MASCULINO,CARMEN DE LA LEGUA REYNOSO,14/04/2026 14:01:24
1216,8MP2p,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1217,PDb0y,,,MADRE,Tiene,Tiene,amelia_borrero,1200,600,2016-01,Tiene,MASCULINO,CASTILLA,14/04/2026 14:01:24
1218,WZG2W,1era. convocatoria,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1219,PDbnz,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,MASCULINO,IQUITOS,14/04/2026 14:01:24
1220,DdjEA,,,MADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,FEMENINO,CARABAYLLO,14/04/2026 14:01:24
1221,2ZKe0,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,MASCULINO,PACHACAMAC,14/04/2026 14:01:24
1222,Ml5mQ,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,FEMENINO,SAN MARTIN DE PORRES,14/04/2026 14:01:24
1223,q2DRd,,,MADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1224,6oBmD,,,MADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,MASCULINO,SALCABAMBA,14/04/2026 14:01:24
1225,ZebRv,,,MADRE,Tiene,Tiene,Tiene,400,300,2016-01,Tiene,FEMENINO,LIMA,14/04/2026 14:01:24
1226,OZPOG,,,MADRE,Tiene,Tiene,Tiene,400,400,2016-01,Tiene,FEMENINO,LA VICTORIA,14/04/2026 14:01:24
1227,58xy5,,,MADRE,Tiene,Tiene,Tiene,0,1,150,2016-01,Tiene,MASCULINO,VILLA MARIA DEL TRIUNFO,14/04/2026 14:01:24
1228,P8azg,,,MADRE,No Tiene,Tiene,Tiene,800.00,350.00,2016-01,Tiene,FEMENINO,CHANCAY,14/04/2026 14:01:24
1229,pjD1,,,MADRE,No Tiene,No tiene,Tiene,0,100,2016-01,Tiene,MASCULINO,,14/04/2026 14:01:24
1230,EM3z7,,,MADRE,No Tiene,No tiene,NO TIENE,0,600,2016-01,Tiene,MASCULINO,SANTA ANITA,14/04/2026 14:01:24
1231,ye2V,,,MADRE,Tiene,Tiene,No tiene ,0,400,2016-01,Tiene,FEMENINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:24
1232,mxvVE,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,FEMENINO,JESUS MARIA,14/04/2026 14:01:24
1233,XGdPb,,,MADRE,No Tiene,No tiene,NO TIENE,500,500,2016-01,Tiene,MASCULINO,HUABAL,14/04/2026 14:01:24
1234,8MPll,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,FEMENINO,SAN MARTIN DE PORRES,14/04/2026 14:01:24
1235,llwOx,,,MADRE,Tiene,Tiene,ninguno,100,200,2015-12,Tiene,MASCULINO,HUANCAYO,14/04/2026 14:01:24
1236,GWRdo,,,MADRE,No Tiene,Tiene,no tiene,700,500,2016-01,Tiene,MASCULINO,AYABACA,14/04/2026 14:01:24
1237,MBeb,,,MADRE,Tiene,Tiene,Tiene,30.00,20.00,2016-01,Tiene,FEMENINO,JESUS MARIA,14/04/2026 14:01:24
1238,2Ngeg,,,MADRE,No Tiene,Tiene,Tiene,200,200,2016-01,Tiene,MASCULINO,HUANCABAMBA,14/04/2026 14:01:24
1239,q2DOd,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,FEMENINO,LIMA,14/04/2026 14:01:24
1240,2NgxW,,,MADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,MASCULINO,PUENTE PIEDRA,14/04/2026 14:01:24
1241,K8lga,,,MADRE,Tiene,Tiene,no tiene,650,550,2016-01,Tiene,MASCULINO,PADRE MARQUEZ,14/04/2026 14:01:24
1242,QMLp,,,MADRE,No Tiene,Tiene,Tiene,0.00,700,2016-01,Tiene,MASCULINO,PALLANCHACRA,14/04/2026 14:01:24
1243,5GyA3,,,MADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,MASCULINO,PUEBLO LIBRE,14/04/2026 14:01:24
1244,BnAmZ,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,FEMENINO,VILLA MARIA DEL TRIUNFO,14/04/2026 14:01:24
1245,D2L57,,,MADRE,Tiene,Tiene,Tiene,150,100,2016-01,Tiene,MASCULINO,IQUITOS,14/04/2026 14:01:24
1246,BnAVL,,,MADRE,Tiene,Tiene,Tiene,350.00,350.00,2016-01,Tiene,FEMENINO,,14/04/2026 14:01:24
1247,zV3bv,,,MADRE,Tiene,Tiene,Tiene,1100,1000,2016-01,Tiene,MASCULINO,CORACORA,14/04/2026 14:01:24
1248,zV3zz,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,MASCULINO,JESUS MARIA,14/04/2026 14:01:24
1249,38Gq,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,FEMENINO,PUENTE PIEDRA,14/04/2026 14:01:24
1250,AlLrg,,,MADRE,Tiene,Tiene,Tiene,150,100,2016-01,Tiene,FEMENINO,IQUITOS,14/04/2026 14:01:24
1251,N3Vmo,,,MADRE,Tiene,Tiene,Tiene,1200,500,2016-01,Tiene,FEMENINO,VILLA EL SALVADOR,14/04/2026 14:01:24
1252,dBVXn,,,MADRE,Tiene,Tiene,no tiene,900,400,2016-01,Tiene,FEMENINO,BARRANCO,14/04/2026 14:01:24
1253,Ml6d5,,,MADRE,Tiene,Tiene,Tiene,750.00,500.00,2016-01,Tiene,FEMENINO,LIMA,14/04/2026 14:01:24
1254,1Meam,,,MADRE,No Tiene,No tiene,No Tiene,0,0,2016-01,Tiene,FEMENINO,SAN MARTIN DE PORRES,14/04/2026 14:01:24
1255,bNeqk,,,MADRE,Tiene,Tiene,NO TIENE,1400,1000,2016-01,Tiene,MASCULINO,AZANGARO,14/04/2026 14:01:24
1256,BbWg,,,MADRE,Tiene,Tiene,Tiene,500,450,2016-01,Tiene,FEMENINO,JESUS MARIA,14/04/2026 14:01:24
1257,NdbkE,,,MADRE,Tiene,Tiene,Tiene,1600,0,2016-01,Tiene,MASCULINO,JESUS MARIA,14/04/2026 14:01:24
1258,e6D07,,,MADRE,Tiene,Tiene,Tiene,750,750,2016-01,Tiene,FEMENINO,BELLAVISTA,14/04/2026 14:01:24
1259,VWpe,,,MADRE,Tiene,Tiene,Tiene,0,0,2016-01,Tiene,MASCULINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:24
1260,pN31B,,,MADRE,Tiene,Tiene,Tiene,400,400,2016-01,Tiene,FEMENINO,PUEBLO LIBRE,14/04/2026 14:01:24
1261,6oBkz,,,MADRE,No Tiene,No tiene,NO TIENE,200,200,2016-01,Tiene,FEMENINO,TAMBO GRANDE,14/04/2026 14:01:24
1262,L8bzD,,,MADRE,Tiene,Tiene,Tiene,0,0,2015-12,Tiene,FEMENINO,ATE,14/04/2026 14:01:24
1263,bNeeZ,,,MADRE,Tiene,Tiene,Tiene,0,0,2015-12,Tiene,MASCULINO,PUEBLO LIBRE,14/04/2026 14:01:24
1264,rnWvp,,,MADRE,Tiene,Tiene,Tiene,750.00,200.00,2016-01,Tiene,FEMENINO,CERRO COLORADO,14/04/2026 14:01:24
1265,vLArn,,,MADRE,No Tiene,No tiene,NO TIENE,0,200,2016-01,Tiene,FEMENINO,BELLAVISTA,14/04/2026 14:01:24
1266,0Z2by,,,MADRE,No Tiene,No tiene,NO TIENE,0,200,2016-01,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1267,O5Axg,1era. convocatoria,,MADRE,No Tiene,No tiene,No Tiene,1000,900,2015-12,Tiene,FEMENINO,SAN PEDRO DE CAJAS,14/04/2026 14:01:24
1268,BnjXM,1era. convocatoria,,MADRE,No Tiene,Tiene,No Tiene,0,0,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:24
1269,ndGLA,,,MADRE,Tiene,Tiene,Tiene,200,200,2016-01,Tiene,MASCULINO,COPA,14/04/2026 14:01:24
1270,k7zDx,,,MADRE,Tiene,Tiene,no tiene,0,800,2015-12,Tiene,FEMENINO,VENTANILLA,14/04/2026 14:01:24
1271,KP8K1,,,MADRE,No Tiene,No tiene,No Tiene,2450,,2024-03,Tiene,FEMENINO,,14/04/2026 14:01:24
1272,M1xnk,,,MADRE,No Tiene,No tiene,No Tiene,1500,,2024-03,Tiene,MASCULINO,,14/04/2026 14:01:24
1273,2OvGx,,,MADRE,No Tiene,No tiene,No Tiene,1800,,2022-07,Tiene,FEMENINO,,14/04/2026 14:01:24
1274,N1G80,,,MADRE,No Tiene,No tiene,No Tiene,3000,,2024-08,Tiene,MASCULINO,,14/04/2026 14:01:24
1275,7jB07,,,MADRE,Tiene,Tiene,Tiene,1800,1200,2019-08,Tiene,MASCULINO,,14/04/2026 14:01:24
1276,75DdL,,,MADRE,No Tiene,No tiene,No Tiene,5192,,2023-09,Tiene,FEMENINO,,14/04/2026 14:01:24
1277,P255g,,,MADRE,No Tiene,No tiene,No Tiene,1000,,2023-02,Tiene,FEMENINO,,14/04/2026 14:01:24
1278,LzrVA,,,MADRE,No Tiene,No tiene,No Tiene,900,,2021-10,No Tiene,FEMENINO,,14/04/2026 14:01:24
1279,beAOk,,,MADRE,No Tiene,No tiene,No Tiene,1200,,2021-03,No Tiene,MASCULINO,,14/04/2026 14:01:24
1280,rEd6d,,,MADRE,No Tiene,No tiene,No Tiene,2178.39,,2024-09,Tiene,FEMENINO,,14/04/2026 14:01:24
1281,vQ5Rn,,,MADRE,No Tiene,No tiene,No Tiene,1200,,2021-03,No Tiene,MASCULINO,,14/04/2026 14:01:24
1282,A6zmx,,,MADRE,No Tiene,No tiene,No Tiene,0,,2021-10,No Tiene,FEMENINO,COMAS,14/04/2026 14:01:24
1283,dxEZZ,,,MADRE,No Tiene,No tiene,No Tiene,850 ,,2022-03,No Tiene,FEMENINO,,14/04/2026 14:01:24
1284,BpA7m,,,MADRE,No Tiene,No tiene,No Tiene,4200,,2021-03,Tiene,MASCULINO,,14/04/2026 14:01:24
1285,z36RQ,,,MADRE,No Tiene,No tiene,No Tiene,1200,,2021-01,No Tiene,MASCULINO,,14/04/2026 14:01:24
1286,rqmyZ,,,MADRE,No Tiene,No tiene,No Tiene,700,,2021-02,No Tiene,MASCULINO,,14/04/2026 14:01:24
1287,gW2Dk,,,MADRE,No Tiene,No tiene,No Tiene,1800,,2021-03,No Tiene,FEMENINO,,14/04/2026 14:01:24
